Crime,Block,Month,Year,Location
Commercial Break and Enter,6100 167B ST ,3,2013,Surrey
Commercial Break and Enter,8900 140A ST ,3,2013,Surrey
Commercial Break and Enter,9700 128A ST ,3,2013,Surrey
Commercial Break and Enter,14900 105TH AVE ,3,2013,Surrey
Commercial Break and Enter,13900 64TH AVE ,3,2013,Surrey
Commercial Break and Enter,3900 156TH ST ,3,2013,Surrey
Commercial Break and Enter,16800 80TH AVE ,3,2013,Surrey
Commercial Break and Enter,14700 105A AVE ,3,2013,Surrey
Commercial Break and Enter,2400 163RD ST ,3,2013,Surrey
Commercial Break and Enter,1700 156TH ST ,3,2013,Surrey
Commercial Break and Enter,7700 142ND ST ,3,2013,Surrey
Commercial Break and Enter,12800 CARLUKE CRES ,3,2013,Surrey
Commercial Break and Enter,10300 143RD ST ,3,2013,Surrey
Commercial Break and Enter,10600 132ND ST ,3,2013,Surrey
Commercial Break and Enter,10000 128A ST ,3,2013,Surrey
Commercial Break and Enter,6100 170A ST ,3,2013,Surrey
Commercial Break and Enter,12800 CARLUKE CRES ,3,2013,Surrey
Commercial Break and Enter,10200 133A ST ,3,2013,Surrey
Commercial Break and Enter,7500 184TH ST ,3,2013,Surrey
Commercial Break and Enter,8300 141ST ST ,3,2013,Surrey
Commercial Break and Enter,12900 102ND AVE ,3,2013,Surrey
Commercial Break and Enter,13300 104TH AVE ,3,2013,Surrey
Commercial Break and Enter,18800 53B AVE ,3,2013,Surrey
Commercial Break and Enter,6200 167TH ST ,3,2013,Surrey
Commercial Break and Enter,9100 KING GEORGE BLVD,3,2013,Surrey
Commercial Break and Enter,2100 153A ST ,3,2013,Surrey
Commercial Break and Enter,3000 MCBRIDE AVE ,3,2013,Surrey
Commercial Break and Enter,6100 PALOMINO CRES ,3,2013,Surrey
Commercial Break and Enter,10800 130TH ST ,3,2013,Surrey
Commercial Break and Enter,12900 72A AVE ,3,2013,Surrey
Commercial Break and Enter,18100 56TH AVE ,3,2013,Surrey
Commercial Break and Enter,13700 64A AVE ,3,2013,Surrey
Commercial Break and Enter,14200 60TH AVE ,3,2013,Surrey
Commercial Break and Enter,6100  150TH ST,3,2013,Surrey
Commercial Break and Enter,19000 SUNDALE CRT ,3,2013,Surrey
Commercial Break and Enter,10900 154A ST ,3,2013,Surrey
Commercial Break and Enter,9800 WHALLEY BLVD ,3,2013,Surrey
Commercial Break and Enter,13700 105TH AVE ,3,2013,Surrey
Commercial Break and Enter,13000 112TH AVE ,3,2013,Surrey
Commercial Break and Enter,14600 106A AVE ,3,2013,Surrey
Commercial Break and Enter,9300 121ST ST ,3,2013,Surrey
Commercial Break and Enter,10600 139TH ST ,3,2013,Surrey
Commercial Break and Enter,12400 90A AVE ,3,2013,Surrey
Commercial Break and Enter,12100 95A AVE ,3,2013,Surrey
Commercial Break and Enter,13700 90TH AVE ,3,2013,Surrey
Commercial Break and Enter,13800 102ND AVE ,3,2013,Surrey
Commercial Break and Enter,9400 127A ST ,3,2013,Surrey
Commercial Break and Enter,12700 68TH AVE ,3,2013,Surrey
Commercial Break and Enter,8100 120A ST ,3,2013,Surrey
Commercial Break and Enter,8900 148TH ST ,3,2013,Surrey
Commercial Break and Enter,5900 133RD ST ,3,2013,Surrey
Commercial Break and Enter,14100 72ND AVE ,3,2013,Surrey
Commercial Break and Enter,9300 152ND ST ,3,2013,Surrey
Commercial Break and Enter,8100 138TH ST ,3,2013,Surrey
Commercial Break and Enter,10600 150TH ST ,3,2013,Surrey
Commercial Break and Enter,15400 KILDARE DR ,4,2013,Surrey
Commercial Break and Enter,13300 104TH AVE ,4,2013,Surrey
Commercial Break and Enter,10600 150TH ST ,4,2013,Surrey
Commercial Break and Enter,14900 SWALLOW DR ,4,2013,Surrey
Commercial Break and Enter,9000 137A ST ,4,2013,Surrey
Commercial Break and Enter,12700 92ND AVE ,4,2013,Surrey
Commercial Break and Enter,7600 140TH ST ,4,2013,Surrey
Commercial Break and Enter,8800 134A ST ,4,2013,Surrey
Commercial Break and Enter,7600 149TH ST ,4,2013,Surrey
Commercial Break and Enter,7500 138TH ST ,4,2013,Surrey
Commercial Break and Enter,8300 128TH ST ,4,2013,Surrey
Commercial Break and Enter,15400 27A AVE ,4,2013,Surrey
Commercial Break and Enter,1800 148TH ST ,4,2013,Surrey
Commercial Break and Enter,7200 128TH ST ,4,2013,Surrey
Commercial Break and Enter,6400 196TH ST ,4,2013,Surrey
Commercial Break and Enter,3500 150A ST ,4,2013,Surrey
Commercial Break and Enter,7200 128TH ST ,4,2013,Surrey
Commercial Break and Enter,13400 79TH AVE ,4,2013,Surrey
Commercial Break and Enter,19100 70TH AVE ,4,2013,Surrey
Commercial Break and Enter,9100 143A ST ,4,2013,Surrey
Commercial Break and Enter,7200 128B ST ,4,2013,Surrey
Commercial Break and Enter,300 174TH ST ,4,2013,Surrey
Commercial Break and Enter,14300 57TH AVE ,4,2013,Surrey
Commercial Break and Enter,12300 OLD YALE RD,4,2013,Surrey
Commercial Break and Enter,15600 33RD AVE ,4,2013,Surrey
Commercial Break and Enter,5900 148TH ST ,4,2013,Surrey
Commercial Break and Enter,100 172ND ST ,4,2013,Surrey
Commercial Break and Enter,14900 SOUTHMERE CLS ,4,2013,Surrey
Commercial Break and Enter,7200 128B ST ,4,2013,Surrey
Commercial Break and Enter,9800 124A ST ,4,2013,Surrey
Commercial Break and Enter,2700 158TH ST ,4,2013,Surrey
Commercial Break and Enter,13000 21ST AVE ,4,2013,Surrey
Commercial Break and Enter,19000 63RD AVE ,4,2013,Surrey
Commercial Break and Enter,19000 26TH AVE ,4,2013,Surrey
Commercial Break and Enter,5900 131A ST ,4,2013,Surrey
Commercial Break and Enter,7300 129A ST ,4,2013,Surrey
Commercial Break and Enter,10200 145A ST ,4,2013,Surrey
Commercial Break and Enter,8500 142ND ST ,4,2013,Surrey
Commercial Break and Enter,7800 163A ST ,4,2013,Surrey
Commercial Break and Enter,10700 148TH ST ,4,2013,Surrey
Commercial Break and Enter,14600 81A AVE ,4,2013,Surrey
Commercial Break and Enter,9900 133RD ST ,4,2013,Surrey
Commercial Break and Enter,14600 60TH AVE ,4,2013,Surrey
Commercial Break and Enter,10700 UNIVERSITY DR ,4,2013,Surrey
Commercial Break and Enter,9100 135A ST ,4,2013,Surrey
Commercial Break and Enter,14100 103A AVE ,4,2013,Surrey
Commercial Break and Enter,7200 140TH ST ,4,2013,Surrey
Commercial Break and Enter,9500 126TH ST ,4,2013,Surrey
Commercial Break and Enter,10700 142A ST ,4,2013,Surrey
Commercial Break and Enter,2200 154A ST ,4,2013,Surrey
Commercial Break and Enter,19400 66TH AVE ,4,2013,Surrey
Commercial Break and Enter,11000 129TH ST ,4,2013,Surrey
Commercial Break and Enter,13400 112TH AVE ,4,2013,Surrey
Commercial Break and Enter,9500 130A ST ,4,2013,Surrey
Commercial Break and Enter,15000 88TH AVE ,4,2013,Surrey
Commercial Break and Enter,10000 156TH ST ,4,2013,Surrey
Commercial Break and Enter,12800 72B AVE ,4,2013,Surrey
Commercial Break and Enter,10100 128A ST ,4,2013,Surrey
Commercial Break and Enter,9900 SEMIAHMOO RD ,4,2013,Surrey
Commercial Break and Enter,5200 192ND ST ,4,2013,Surrey
Commercial Break and Enter,5900 140TH ST ,4,2013,Surrey
Commercial Break and Enter,15400 82A AVE ,4,2013,Surrey
Commercial Break and Enter,16500 104TH AVE ,4,2013,Surrey
Commercial Break and Enter,14300 115TH AVE ,4,2013,Surrey
Commercial Break and Enter,8000 135TH ST ,4,2013,Surrey
Commercial Break and Enter,16700 21ST AVE ,4,2013,Surrey
Commercial Break and Enter,14300 GLADSTONE DR ,4,2013,Surrey
Commercial Break and Enter,16500 104TH AVE ,4,2013,Surrey
Commercial Break and Enter,8100 144TH ST ,4,2013,Surrey
Commercial Break and Enter,7000 131ST ST ,4,2013,Surrey
Commercial Break and Enter,15300 96TH AVE ,4,2013,Surrey
Commercial Break and Enter,2200 153A ST ,4,2013,Surrey
Commercial Break and Enter,8600 152ND ST ,4,2013,Surrey
Commercial Break and Enter,11200 150TH ST ,4,2013,Surrey
Commercial Break and Enter,12400 96A AVE ,4,2013,Surrey
Commercial Break and Enter,1900 128TH ST ,4,2013,Surrey
Commercial Break and Enter,13100 107A AVE ,4,2013,Surrey
Commercial Break and Enter,12300 103A AVE ,4,2013,Surrey
Commercial Break and Enter,6000 172A ST ,4,2013,Surrey
Commercial Break and Enter,9600 120TH ST ,4,2013,Surrey
Commercial Break and Enter,9800 132A ST ,4,2013,Surrey
Commercial Break and Enter,11400 MCBRIDE DR ,4,2013,Surrey
Commercial Break and Enter,16700 EDGEWOOD DR ,4,2013,Surrey
Commercial Break and Enter,14600 109TH AVE ,4,2013,Surrey
Commercial Break and Enter,13400 85TH AVE ,4,2013,Surrey
Commercial Break and Enter,12400 63A AVE ,4,2013,Surrey
Commercial Break and Enter,6500 122A ST ,4,2013,Surrey
Commercial Break and Enter,15800 26TH AVE ,4,2013,Surrey
Commercial Break and Enter,6200 171A ST ,4,2013,Surrey
Commercial Break and Enter,7400 138TH ST ,4,2013,Surrey
Commercial Break and Enter,6300 125A ST ,4,2013,Surrey
Commercial Break and Enter,13300 105TH AVE ,4,2013,Surrey
Commercial Break and Enter,15000 88A AVE ,4,2013,Surrey
Commercial Break and Enter,13700 103RD AVE ,4,2013,Surrey
Commercial Break and Enter,2600 162ND ST ,4,2013,Surrey
Commercial Break and Enter,14800 62ND AVE ,4,2013,Surrey
Commercial Break and Enter,13100 108TH AVE ,4,2013,Surrey
Commercial Break and Enter,15300 102A AVE ,4,2013,Surrey
Commercial Break and Enter,12100 98A AVE ,4,2013,Surrey
Commercial Break and Enter,13300 105A AVE ,4,2013,Surrey
Commercial Break and Enter,14600 32ND AVE ,4,2013,Surrey
Commercial Break and Enter,12600 93RD AVE ,4,2013,Surrey
Commercial Break and Enter,13400 60A AVE ,4,2013,Surrey
Commercial Break and Enter,11200 150TH ST ,4,2013,Surrey
Commercial Break and Enter,15200 21A AVE ,4,2013,Surrey
Commercial Break and Enter,7800 134TH ST ,4,2013,Surrey
Commercial Break and Enter,9100 FLEETWOOD WAY ,4,2013,Surrey
Commercial Break and Enter,2900 KING GEORGE BLVD,4,2013,Surrey
Commercial Break and Enter,9200 134TH ST ,4,2013,Surrey
Commercial Break and Enter,14400 76TH AVE ,4,2013,Surrey
Commercial Break and Enter,11400 MILLAR RD ,4,2013,Surrey
Commercial Break and Enter,12800 74TH AVE ,4,2013,Surrey
Commercial Break and Enter,16300 88TH AVE ,4,2013,Surrey
Commercial Break and Enter,17700 57TH AVE ,4,2013,Surrey
Commercial Break and Enter,2700 158TH ST ,4,2013,Surrey
Commercial Break and Enter,9600 139TH ST ,4,2013,Surrey
Commercial Break and Enter,2900 KING GEORGE BLVD,4,2013,Surrey
Commercial Break and Enter,8400 171A ST ,4,2013,Surrey
Commercial Break and Enter,12100 66TH AVE ,4,2013,Surrey
Commercial Break and Enter,17500 24TH AVE ,4,2013,Surrey
Commercial Break and Enter,12100 82ND AVE ,4,2013,Surrey
Commercial Break and Enter,7300 194A ST ,4,2013,Surrey
Commercial Break and Enter,9100 132B ST ,4,2013,Surrey
Commercial Break and Enter,8000 136A ST ,4,2013,Surrey
Commercial Break and Enter,7200 130A ST ,4,2013,Surrey
Commercial Break and Enter,14500 105A AVE ,4,2013,Surrey
Commercial Break and Enter,12200 97A AVE ,4,2013,Surrey
Commercial Break and Enter,14900 95A AVE ,4,2013,Surrey
Commercial Break and Enter,8800 151ST ST ,4,2013,Surrey
Commercial Break and Enter,7500 144A ST ,4,2013,Surrey
Commercial Break and Enter,2100 168TH ST ,4,2013,Surrey
Commercial Break and Enter,12800 104TH AVE ,4,2013,Surrey
Commercial Break and Enter,132ND ST / 104TH AVE,4,2013,Surrey
Commercial Break and Enter,152A ST / 24TH AVE,4,2013,Surrey
Commercial Break and Enter,7100 121ST ST ,5,2013,Surrey
Commercial Break and Enter,7400 123RD ST ,5,2013,Surrey
Commercial Break and Enter,10700 139TH ST ,5,2013,Surrey
Commercial Break and Enter,6900 195A ST ,5,2013,Surrey
Commercial Break and Enter,9300 153RD ST ,5,2013,Surrey
Commercial Break and Enter,9400 132ND ST ,5,2013,Surrey
Commercial Break and Enter,3600 159A ST ,5,2013,Surrey
Commercial Break and Enter,14700 88TH AVE ,5,2013,Surrey
Commercial Break and Enter,9000 160A ST ,5,2013,Surrey
Commercial Break and Enter,13000 106A AVE ,5,2013,Surrey
Commercial Break and Enter,5900 187A ST ,5,2013,Surrey
Commercial Break and Enter,8200 KING GEORGE BLVD,5,2013,Surrey
Commercial Break and Enter,13900 108TH AVE ,5,2013,Surrey
Commercial Break and Enter,1700 145TH ST ,5,2013,Surrey
Commercial Break and Enter,15400 32ND AVE ,5,2013,Surrey
Commercial Break and Enter,7200 128TH ST ,5,2013,Surrey
Commercial Break and Enter,8500 KING GEORGE BLVD,5,2013,Surrey
Commercial Break and Enter,8500 KING GEORGE BLVD,5,2013,Surrey
Commercial Break and Enter,18200 56B AVE ,5,2013,Surrey
Commercial Break and Enter,18400 68TH AVE ,5,2013,Surrey
Commercial Break and Enter,7200 128TH ST ,5,2013,Surrey
Commercial Break and Enter,13800 60TH AVE ,5,2013,Surrey
Commercial Break and Enter,3700 184TH ST ,5,2013,Surrey
Commercial Break and Enter,3000 156TH ST ,5,2013,Surrey
Commercial Break and Enter,18100 61A AVE ,5,2013,Surrey
Commercial Break and Enter,2600 KING GEORGE BLVD,5,2013,Surrey
Commercial Break and Enter,6500 CLAYTONHILL GRV ,5,2013,Surrey
Commercial Break and Enter,7000 178TH ST ,5,2013,Surrey
Commercial Break and Enter,13500 HILTON RD ,5,2013,Surrey
Commercial Break and Enter,10400 UNIVERSITY DR ,5,2013,Surrey
Commercial Break and Enter,14500 89A AVE ,5,2013,Surrey
Commercial Break and Enter,16600 63B AVE ,5,2013,Surrey
Commercial Break and Enter,13400 111A AVE ,5,2013,Surrey
Commercial Break and Enter,13600 60TH AVE ,5,2013,Surrey
Commercial Break and Enter,13100 107A AVE ,5,2013,Surrey
Commercial Break and Enter,1900 154TH ST ,5,2013,Surrey
Commercial Break and Enter,16600 57A AVE ,5,2013,Surrey
Commercial Break and Enter,15300 101ST AVE ,5,2013,Surrey
Commercial Break and Enter,16600 63B AVE ,5,2013,Surrey
Commercial Break and Enter,7500 140TH ST ,5,2013,Surrey
Commercial Break and Enter,10700 138TH ST ,5,2013,Surrey
Commercial Break and Enter,16000 28B AVE ,5,2013,Surrey
Commercial Break and Enter,5700 177B ST ,5,2013,Surrey
Commercial Break and Enter,17300 4TH AVE ,5,2013,Surrey
Commercial Break and Enter,5900 128TH ST ,5,2013,Surrey
Commercial Break and Enter,9700 188TH ST ,5,2013,Surrey
Commercial Break and Enter,15600 ROSEMARY HEIGHTS CRES,5,2013,Surrey
Commercial Break and Enter,13000 103A AVE ,5,2013,Surrey
Commercial Break and Enter,2900 153A ST ,5,2013,Surrey
Commercial Break and Enter,10600 127TH ST ,5,2013,Surrey
Commercial Break and Enter,3600 156A ST ,5,2013,Surrey
Commercial Break and Enter,13300 104TH AVE ,5,2013,Surrey
Commercial Break and Enter,8000 144TH ST ,5,2013,Surrey
Commercial Break and Enter,7200 128B ST ,5,2013,Surrey
Commercial Break and Enter,12400 70A AVE ,5,2013,Surrey
Commercial Break and Enter,13300 68TH AVE ,5,2013,Surrey
Commercial Break and Enter,10600 141A ST ,5,2013,Surrey
Commercial Break and Enter,6900 192ND ST ,5,2013,Surrey
Commercial Break and Enter,9800 134TH ST ,5,2013,Surrey
Commercial Break and Enter,14500 60TH AVE ,5,2013,Surrey
Commercial Break and Enter,12200 85A AVE ,5,2013,Surrey
Commercial Break and Enter,14800 100TH AVE ,5,2013,Surrey
Commercial Break and Enter,15100 92A AVE ,5,2013,Surrey
Commercial Break and Enter,12800 72ND AVE ,5,2013,Surrey
Commercial Break and Enter,11500 MILLAR RD ,5,2013,Surrey
Commercial Break and Enter,14800 86TH AVE ,5,2013,Surrey
Commercial Break and Enter,9000 135A ST ,5,2013,Surrey
Commercial Break and Enter,14500 88TH AVE ,5,2013,Surrey
Commercial Break and Enter,12800 OLD YALE RD,5,2013,Surrey
Commercial Break and Enter,18800 69TH AVE ,5,2013,Surrey
Commercial Break and Enter,7300 142ND ST ,5,2013,Surrey
Commercial Break and Enter,14300 57TH AVE ,5,2013,Surrey
Commercial Break and Enter,3200 CANTERBURY DR ,5,2013,Surrey
Commercial Break and Enter,8700 154B ST ,5,2013,Surrey
Commercial Break and Enter,14600 101A AVE ,5,2013,Surrey
Commercial Break and Enter,13700 56TH AVE ,5,2013,Surrey
Commercial Break and Enter,10100 127TH ST ,5,2013,Surrey
Commercial Break and Enter,10100 177TH ST ,5,2013,Surrey
Commercial Break and Enter,9600 129A ST ,5,2013,Surrey
Commercial Break and Enter,1700 SOUTHMERE CRES ,5,2013,Surrey
Commercial Break and Enter,13800 89TH AVE ,5,2013,Surrey
Commercial Break and Enter,12500 CENTRE DR ,5,2013,Surrey
Commercial Break and Enter,8500 134A ST ,5,2013,Surrey
Commercial Break and Enter,9100 140TH ST ,5,2013,Surrey
Commercial Break and Enter,5600 128A ST ,5,2013,Surrey
Commercial Break and Enter,10000 177A ST ,5,2013,Surrey
Commercial Break and Enter,9400 124A ST ,5,2013,Surrey
Commercial Break and Enter,9700 131A ST ,5,2013,Surrey
Commercial Break and Enter,8500 KING GEORGE BLVD,5,2013,Surrey
Commercial Break and Enter,6900 127A ST ,5,2013,Surrey
Commercial Break and Enter,6000 145A ST ,5,2013,Surrey
Commercial Break and Enter,300 184TH ST ,5,2013,Surrey
Commercial Break and Enter,5400 123RD ST ,5,2013,Surrey
Commercial Break and Enter,7800 143A ST ,5,2013,Surrey
Commercial Break and Enter,12900 98TH AVE ,5,2013,Surrey
Commercial Break and Enter,13700 103RD AVE ,5,2013,Surrey
Commercial Break and Enter,8400 123RD ST ,5,2013,Surrey
Commercial Break and Enter,14900 101A AVE ,5,2013,Surrey
Commercial Break and Enter,13400 79TH AVE ,5,2013,Surrey
Commercial Break and Enter,12700 63RD AVE ,5,2013,Surrey
Commercial Break and Enter,6800 152ND ST ,5,2013,Surrey
Commercial Break and Enter,5800 177B ST ,5,2013,Surrey
Commercial Break and Enter,19400 62ND AVE ,5,2013,Surrey
Commercial Break and Enter,13400 CRESCENT RD ,5,2013,Surrey
Commercial Break and Enter,14300 57TH AVE ,5,2013,Surrey
Commercial Break and Enter,13500 88A AVE ,5,2013,Surrey
Commercial Break and Enter,8200 KING GEORGE BLVD,5,2013,Surrey
Commercial Break and Enter,15300 22ND AVE ,5,2013,Surrey
Commercial Break and Enter,10700 WHALLEY BLVD ,5,2013,Surrey
Commercial Break and Enter,7400 142ND ST ,5,2013,Surrey
Commercial Break and Enter,15300 85A AVE ,5,2013,Surrey
Commercial Break and Enter,10000 133RD ST ,5,2013,Surrey
Commercial Break and Enter,10900 128A ST ,5,2013,Surrey
Commercial Break and Enter,6800 196TH ST ,5,2013,Surrey
Commercial Break and Enter,16400 86B AVE ,5,2013,Surrey
Commercial Break and Enter,6200 146TH ST ,5,2013,Surrey
Commercial Break and Enter,8400 141ST ST ,5,2013,Surrey
Commercial Break and Enter,8200 153B ST ,5,2013,Surrey
Commercial Break and Enter,13500 HILTON RD ,5,2013,Surrey
Commercial Break and Enter,13500 96TH AVE ,5,2013,Surrey
Commercial Break and Enter,10400 127TH ST ,5,2013,Surrey
Commercial Break and Enter,8200 162A ST ,5,2013,Surrey
Commercial Break and Enter,8200 132A ST ,5,2013,Surrey
Commercial Break and Enter,10600 128TH ST ,5,2013,Surrey
Commercial Break and Enter,11000 132ND ST ,5,2013,Surrey
Commercial Break and Enter,6200 GREENSIDE DR W,5,2013,Surrey
Commercial Break and Enter,7300 TODD CRES ,5,2013,Surrey
Commercial Break and Enter,14700 80A AVE ,5,2013,Surrey
Commercial Break and Enter,7700 156TH ST ,5,2013,Surrey
Commercial Break and Enter,10600 129TH ST ,5,2013,Surrey
Commercial Break and Enter,6200 SUNDANCE DR ,5,2013,Surrey
Commercial Break and Enter,16000 FRASER HWY ,5,2013,Surrey
Commercial Break and Enter,7600 140A ST ,5,2013,Surrey
Commercial Break and Enter,14400 90TH AVE ,5,2013,Surrey
Commercial Break and Enter,2700 PARKWAY DR ,5,2013,Surrey
Commercial Break and Enter,15400 60A AVE ,5,2013,Surrey
Commercial Break and Enter,13000 107A AVE ,5,2013,Surrey
Commercial Break and Enter,8400 144TH ST ,5,2013,Surrey
Commercial Break and Enter,7000 135TH ST ,5,2013,Surrey
Commercial Break and Enter,8200 KING GEORGE BLVD,5,2013,Surrey
Commercial Break and Enter,7200 140TH ST ,5,2013,Surrey
Commercial Break and Enter,13400 92ND AVE ,5,2013,Surrey
Commercial Break and Enter,12900 72A AVE ,5,2013,Surrey
Commercial Break and Enter,12900 87A AVE ,5,2013,Surrey
Commercial Break and Enter,6100 194TH ST ,5,2013,Surrey
Commercial Break and Enter,15300 20A AVE ,5,2013,Surrey
Commercial Break and Enter,19100 SUNDALE AVE ,5,2013,Surrey
Commercial Break and Enter,13200 104TH AVE ,5,2013,Surrey
Commercial Break and Enter,12300 PARKTREE CRES ,5,2013,Surrey
Commercial Break and Enter,8000 COOPERSHAWK CRT ,5,2013,Surrey
Commercial Break and Enter,5900 136TH ST ,5,2013,Surrey
Commercial Break and Enter,140TH ST / 68TH AVE,5,2013,Surrey
Commercial Break and Enter,13300 KING GEORGE BLVD,6,2013,Surrey
Commercial Break and Enter,10800 144TH ST ,6,2013,Surrey
Commercial Break and Enter,7900 122A ST ,6,2013,Surrey
Commercial Break and Enter,12500 62B AVE ,6,2013,Surrey
Commercial Break and Enter,14800 63RD AVE ,6,2013,Surrey
Commercial Break and Enter,5600 180TH ST ,6,2013,Surrey
Commercial Break and Enter,2700 PARKWAY DR ,6,2013,Surrey
Commercial Break and Enter,5700 148B ST ,6,2013,Surrey
Commercial Break and Enter,7200 192ND ST ,6,2013,Surrey
Commercial Break and Enter,16600 63A AVE ,6,2013,Surrey
Commercial Break and Enter,6900 152ND ST ,6,2013,Surrey
Commercial Break and Enter,5900 136TH ST ,6,2013,Surrey
Commercial Break and Enter,13300 80TH AVE ,6,2013,Surrey
Commercial Break and Enter,6500 CLAYTONHILL PL ,6,2013,Surrey
Commercial Break and Enter,13300 102A AVE ,6,2013,Surrey
Commercial Break and Enter,8000 COOPERSHAWK CRT ,6,2013,Surrey
Commercial Break and Enter,16200 23A AVE ,6,2013,Surrey
Commercial Break and Enter,10200 145A ST ,6,2013,Surrey
Commercial Break and Enter,7500 146TH ST ,6,2013,Surrey
Commercial Break and Enter,10700 UNIVERSITY DR ,6,2013,Surrey
Commercial Break and Enter,14800 73A AVE ,6,2013,Surrey
Commercial Break and Enter,8100 141ST ST ,6,2013,Surrey
Commercial Break and Enter,5700 125TH ST ,6,2013,Surrey
Commercial Break and Enter,10800 166TH ST ,6,2013,Surrey
Commercial Break and Enter,15000 19A AVE ,6,2013,Surrey
Commercial Break and Enter,13000 LINTON WAY ,6,2013,Surrey
Commercial Break and Enter,11400 124TH ST ,6,2013,Surrey
Commercial Break and Enter,14700 76TH AVE ,6,2013,Surrey
Commercial Break and Enter,6400 138TH ST ,6,2013,Surrey
Commercial Break and Enter,8900 140TH ST ,6,2013,Surrey
Commercial Break and Enter,12600 17A AVE ,6,2013,Surrey
Commercial Break and Enter,7900 BLACKHAWK PL ,6,2013,Surrey
Commercial Break and Enter,14900 111A AVE ,6,2013,Surrey
Commercial Break and Enter,15800 26TH AVE ,6,2013,Surrey
Commercial Break and Enter,19200 73RD AVE ,6,2013,Surrey
Commercial Break and Enter,18400 66A AVE ,6,2013,Surrey
Commercial Break and Enter,12200 68A AVE ,6,2013,Surrey
Commercial Break and Enter,14600 62A AVE ,6,2013,Surrey
Commercial Break and Enter,8800 184TH ST ,6,2013,Surrey
Commercial Break and Enter,14000 75TH AVE ,6,2013,Surrey
